SupplierId,Amount_WD_3M,Amount_WD_6M,Amount_WD_12M,Amount_Backlogs_3M,Amount_Backlogs_6M,Amount_Backlogs_12M,12_Month_LPKM,BadSupplierIndicator
68586a014afa6b343289dc017a95816e,0,0,0,0,0,0,5.0,
075c37dc9fcacb082ef1bd4a3dae0c11,0,0,0,0,0,0,5.0,
f9174001e40db58b4c1e21dd2de38536,0,0,0,0,0,0,5.0,
557b239e840c24ed9592ed3ceb13326f,0,0,0,13,30,57,3.9,
d74b6825c6a9283c834e713798bd0ccc,0,0,0,0,0,0,5.0,
d35271a81defbd7518c80f959d439a3c,0,0,0,13,18,26,4.9,
07316155ed8821c12fa0fe18ad9ac3b8,0,0,2,0,1,5,3.5,
85777eaed6e2b4278af700394606a331,0,0,0,0,0,0,5.0,
96018bbffcde2f4567024e3fd51c34c8,0,0,0,0,0,2,4.9,
a6a322543705a4c87d28ad95026286cd,0,0,0,0,0,2,,
29334a114e030d476706739d3dab1c1e,0,0,0,0,0,0,5.0,
f52323fd4b6ca73c2a38f4b33b334b93,0,0,0,0,0,0,5.0,
293ea319cf5ec8a8f45fd81e5b2a225f,0,0,0,0,0,0,4.9,
11a62acf35ee384011a7ca1a3a23b1b0,0,0,0,0,0,3,3.6,
ba99a1cfbf5245f5aac94745c17cefbe,0,0,0,0,0,0,5.0,
de72efd48f0c11befc365eb8a8d0fb9d,0,0,0,0,0,0,4.8,
cd92b8e77fc17a848d25c595c0c0d6f9,0,0,0,0,0,0,3.4,
83b900daf2756ca4e55a01f2b7be081f,0,0,0,0,1,1,4.9,
17c84af675c524ea9d651b4fe17ac1cd,0,0,0,4,12,25,4.4,
55f16a749ee37c1aa0fbc4029f1186c7,0,0,1,0,3,8,4.4,bad
62d310b5c6029c862311a2d3eb305fe0,0,0,0,0,0,0,5.0,
4ca9867d43a82c20951bd407ecd0bbc8,0,0,0,0,0,0,5.0,
e8cde76cef6fe5a42268dcfaa22c1a0e,0,0,7,14,30,34,3.3,
d0674548cc1d9297c526a639aa2572fe,0,0,0,0,0,0,,bad
9deef976c6b83ba319bec95609eaebd3,2,7,10,12,22,35,3.0,
15bedc4af8a0afa9bd3da0f122901133,0,0,0,0,0,0,5.0,
e2f554d313420233ffe5f82a4b6b810b,0,0,0,0,0,0,5.0,
8682dbb558f5624cfbc4129105260f26,1,1,1,0,0,1,4.5,
79e566980ebe9ce63dc0f54a49bb6eda,0,0,0,0,0,0,5.0,
21c7eed9e80021be69e4068d2fefd0ae,0,0,0,0,3,8,4.4,
ca929b24bbc13cc8d7d52f898bfd5a44,0,0,0,0,0,0,4.9,
fb90081fa8ac5fd86866f82338057433,0,0,0,0,0,0,5.0,
142f8b464a58efdc544100c90e2df340,0,0,0,0,0,0,5.0,
fa38d8453511f1db88cdb1879f5f7305,0,0,0,0,0,0,4.8,
ef9059bf52c46c4f43c4ddced4d7f438,0,0,0,0,0,0,5.0,
